X,Y,OBJECTID,IDENTIFICA,TIPO,icon_url
-68.4815667335043,-33.5374206141575,"635",SET-Vi-1133,De Pozo,./0.png
-68.4148051046653,-33.5515085246377,"637",SET-VI-280,De Pozo,./0.png
-68.7878612564869,-33.158831063825,"638",SET-B-58,De Distribucion,./0.png
-68.397037807142,-33.6055442919413,"639",SET-VI-180,De Pozo,./0.png
-68.7528606864636,-33.1968950886637,"640",SET-B-N23,De Distribucion,./0.png
-68.7699670173511,-33.1692692936362,"641",SET-B-82,De Distribucion,./0.png
-68.4061600262762,-33.5555092624585,"643",SET-VI-275,De Pozo,./0.png
-68.4040415307619,-33.5870531705716,"645",SET-VI-29,De Pozo,./0.png
-68.4041655343178,-33.5469723887111,"646",SET-VI-266,De Pozo,./0.png
-68.7103518845935,-33.2627129976091,"648",SET-LC-35,De Maniobras,./0.png
-68.4599816762273,-33.507242048634,"650",SET-VI-P-CONTROL,De Pozo,./0.png
-68.4195157684638,-33.5408553164001,"653",SET-VI-58,De Pozo,./0.png
-68.7529856775059,-33.1931330365865,"654",SET-B-S/N,De Distribucion,./0.png
-68.7825354889374,-33.1526185361012,"655",SET-B-85,De Distribucion,./0.png
-68.8017319580757,-33.1519698461884,"656",SET-B-,De Distribucion,./0.png
-68.810332579185,-33.0709781125988,"657",SET-ECP-49,De Distribucion,./0.png
-68.3903933788503,-33.6059676505665,"658",SET-VI-181,De Pozo,./0.png
-68.4181346890643,-33.5471788574201,"660",SET-VI-264,De Pozo,./0.png
-68.4212338169761,-33.543180934353,"661",SET-VI-286,De Pozo,./0.png
-68.7984933836535,-33.1865653308575,"663",SET-B-,De Distribucion,./0.png
-68.8197637590468,-33.0849433129349,"665",SET-ECP-91,De Distribucion,./0.png
-68.9644740683356,-33.2998475722094,"666",SET-UG-19,De Distribucion,./0.png
-68.4207802029931,-33.5738889311657,"668",SET-VI-124,De Pozo,./0.png
-68.779311984315,-33.1746624063769,"669",SET-B-553,De Pozo,./0.png
-68.5062270915698,-33.4841421327523,"671",SET-CD-BAT-8,De Maniobras,./0.png
-68.7739215946302,-33.1544769142861,"672",SET-B-10,De Distribucion,./0.png
-68.4213782474687,-33.5578951272175,"673",SET-VI-258,De Pozo,./0.png
-68.4047457291337,-33.5755506842083,"677",SET-VI-1015,De Pozo,./0.png
-68.482302613625,-33.5502113908459,"678",SET-Vi-1108,De Pozo,./0.png
-68.3957890883236,-33.5599362386573,"679",SET-VI-284,De Pozo,./0.png
-68.8038422934383,-33.0563591776373,"680",SET-ECP-103,De Distribucion,./0.png
-68.7198876741207,-33.2989370936634,"682",CENTRAL CARRIZAL,Principal,./0.png
-68.4237237491769,-33.5487747492168,"683",SET-VI-282,De Pozo,./0.png
-68.7796012846652,-33.1461440259259,"684",SET-B-83,De Distribucion,./0.png
-68.3963544156842,-33.6149722190298,"687",SET-VI-189,De Pozo,./0.png
-68.7864525269895,-33.1946949611678,"688",SET-B-S/N,De Distribucion,./0.png
-68.7194561179139,-33.2571772963356,"691",SET-LC-18,De Distribución,./0.png
-68.4010633604021,-33.5919523055995,"694",SET-VI-159,De Pozo,./0.png
-68.4046994933567,-33.5684374951081,"695",SET-VI-120,De Pozo,./0.png
-68.3791528707495,-33.5772723515659,"696",SET-VI-139,De Pozo,./0.png
-68.4107535840518,-33.5455406592979,"697",SET-VI-1004,De Distribucion,./0.png
-68.4070107935234,-33.5919629023329,"698",SET-VI-158,De Pozo,./0.png
-68.3993333138131,-33.5498739470244,"699",SET-VI-46,De Pozo,./0.png
-68.3995161013251,-33.5559627838146,"701",SET-VI-283,De Pozo,./0.png
-68.3943180982332,-33.6012937705012,"702",SET-VI-173,De Pozo,./0.png
-68.3827600491185,-33.6427710383758,"703",SET-VI-194,De Pozo,./0.png
